"id","co2","inoc","n.trt","rep","focal.area","tla","focal.biomass","leaf.biomass","chlor.biomass","stem.biomass","root.biomass","nodule.biomass","total.biomass","bvr","nmass.focal","nmass.nod","nmass.tl","nmass.tr","nmass.ts","cmass.focal","cmass.nod","cmass.tl","cmass.tr","cmass.ts","chlA.ugml","chlB.ugml","chlA.gml","chlB.gml","chlA.g","chlB.g","chlA.gm2","chlB.gm2","chlA.mmolm2","chlB.mmolm2","chl.marea","chlA.mmolg","chlB.mmolg","chl.mmolg","chl.mmolm2","chlA.chlB","disk.area","chl.leaf.area","tleaf","vcmax25","jmax25","jmax25.vcmax25","rd25","tpu","marea","marea.chl","narea","p.rubisco","p.bioe","p.lightharv","p.photo","p.structure","leaf.totaln","stem.totaln","root.totaln","root.totalc","nod.totaln","nod.totalc","wpn","cbg","ncost"
"e_y_0_1","e","y","0","001",24.603,276.728,0.183,1.763,0.134,0.582,1.308,0.319,4.106,0.684,0.02095,0.06369,0.02005,0.01386,0.01978,0.42042,0.46043,0.41325,0.41386,0.40579,2.64910666666667,0.43109,2.64910666666667e-06,4.3109e-07,2.64910666666667e-05,4.3109e-06,0.0881566278424847,0.0143457570715474,0.0986632805928135,0.0158085193687366,60.6609325486646,0.00162647154350392,0.000260604621533874,0.00188707616503779,0.11447179996155,6.14513597315333,3.005,22.09,25.02,97.98,173.197,1.768,3.436,10.737,74.3811730276795,60.6609325486646,1.55828557492989,0.490745703818711,0.0883962160335529,0.0327546307665488,0.611896550618813,0.0405304826461112,0.03534815,0.01151196,0.01812888,0.54132888,0.02031711,0.14687717,0.0853061,0.68820605,8.06748931201872
"e_y_0_2","e","y","0","002",24.008,331.283,0.156,2.017,0.172,0.63,1.139,0.371,4.329,0.722,0.02255,0.05711,0.02289,0.01453,0.01661,0.4197,0.40476,0.45035,0.41937,0.41339,3.2759,0.804693333333333,3.2759e-06,8.04693333333333e-07,3.2759e-05,8.04693333333333e-06,0.108545394300861,0.0266631323172079,0.121482013968351,0.0293818333578056,75.680908170898,0.00160518705317367,0.000388233096931888,0.00199342015010556,0.150863847326157,4.07099184782609,3.018,22.727,25.011,96.124,180.354,1.876,2.531,11.367,64.978340553149,75.680908170898,1.46526157947351,0.512015129633404,0.0978928508986843,0.032145456966024,0.642053437498113,0.0405304826461112,0.04616913,0.0104643,0.01654967,0.47766243,0.02118781,0.15016596,0.09437091,0.62782839,6.65277456792565
"e_y_0_3","e","y","0","003",24.75,378.484,0.147,2.098,0.152,0.724,1.391,0.401,4.766,0.794,0.03462,0.0605,0.03106,0.01375,0.01935,0.43264,0.42482,0.45223,0.42394,0.40833,2.38592,1.68357333333333,2.38592e-06,1.68357333333333e-06,2.38592e-05,1.68357333333333e-05,0.0781500163773338,0.0551448848127525,0.0874640646185647,0.060767722142608,68.4037622069214,0.00127864406571653,0.000888368127454534,0.00216701219317106,0.148231786761173,1.41717616498242,3.053,22.221,25.01,100.959,182.416,1.807,1.105,11.732,59.3939393939394,68.4037622069214,2.05621818181818,0.383214529418311,0.0705560230035308,0.0227615376626339,0.476532090084476,0.0405304826461112,0.06516388,0.0140094,0.01912625,0.58970054,0.0242605,0.17035282,0.12256003,0.76005336,6.20147824702719
"e_y_0_4","e","y","0","004",19.514,282.992,0.113,1.707,0.096,0.783,1.201,0.332,4.119,0.687,0.0285,0.05972,0.02422,0.01663,0.01726,0.4221,0.42376,0.4195,0.41542,0.41225,2.85087,0.561023333333333,2.85087e-06,5.61023333333333e-07,2.85087e-05,5.61023333333333e-06,0.0930744368266405,0.0183161388616824,0.104167202187598,0.0201837403569071,49.5739736638265,0.00210124778162795,0.000407143887511985,0.00250839166913993,0.124350942544505,5.0815533519105,3.063,19.365,25.023,89.374,165.96,1.857,3.421,10.486,57.907143589218,49.5739736638265,1.65035359229271,0.422668920157073,0.0799773082341754,0.0320049973733963,0.534651225764645,0.0405304826461112,0.04134354,0.01351458,0.01997263,0.49891942,0.01982704,0.14068832,0.09465779,0.63960774,6.75705338144911
"e_y_35_5","e","y","35","005",22.018,257.839,0.112,1.456,0.076,0.524,0.936,0.298,3.29,0.548,0.03692,0.06257,0.02719,0.01187,0.01753,0.42636,0.43576,0.43494,0.42946,0.40573,1.61792,0.6427,1.61792e-06,6.427e-07,1.61792e-05,6.427e-06,0.05214050918466,0.0207122139864647,0.0583547013292073,0.022824130810346,45.678567135473,0.00127750726409915,0.000499668274240181,0.00177717553833933,0.0811788321395533,2.51737980395208,3.103,16.638,25.008,107.692,205.409,1.907,1.195,12.182,50.8674720683077,45.678567135473,1.87802706876192,0.447556342935663,0.0869877265354673,0.0175039450245181,0.552048014495648,0.0405304826461112,0.03958864,0.00918572,0.01111032,0.40197456,0.01864586,0.12985648,0.07853054,0.53183104,6.77228298697551
"e_y_35_6","e","y","35","006",21.95,312.369,0.104,1.521,0.104,0.547,1.284,0.246,3.702,0.617,0.02756,0.05944,0.02703,0.01341,0.01937,0.41716,0.45196,0.44565,0.44957,0.40516,2.09023666666667,0.640933333333333,2.09023666666667e-06,6.40933333333333e-07,2.09023666666667e-05,6.40933333333333e-06,0.0682637709558023,0.0209318528195079,0.0763995601121446,0.0230661650737853,46.9801689479153,0.00162620871365629,0.000490976630998447,0.00211718534465474,0.0994657251859299,3.26123881838985,3.062,22.137,25.005,73.592,143.073,1.944,1.927,9.231,47.380410022779,46.9801689479153,1.30580410022779,0.43986428382761,0.0871404935852027,0.0279348904163444,0.554939667829157,0.0405304826461112,0.04111263,0.01059539,0.01721844,0.57724788,0.01462224,0.11118216,0.0835487,0.68843004,8.23986537193278
"e_y_35_7","e","y","35","007",18.769,402.244,0.105,2.294,0.122,0.85,1.721,0.388,5.375,0.896,0.03541,0.06037,0.02474,0.01202,0.01583,0.42924,0.45799,0.44692,0.41387,0.42295,3.18873666666667,0.713303333333333,3.18873666666667e-06,7.13303333333333e-07,3.18873666666667e-05,7.13303333333333e-06,0.103496808395543,0.023151682354214,0.115831729242585,0.0255123390902333,53.103508313746,0.00218124438329439,0.000480426621523787,0.00266167100481818,0.141344068332819,4.47037959540354,3.081,22.974,24.991,87.76,163.023,1.858,3.656,10.986,55.9433107784112,53.103508313746,1.98095263466354,0.345771062657091,0.0654508286275083,0.0273335319228588,0.438555423207458,0.0405304826461112,0.05675356,0.0134555,0.02068642,0.71227027,0.02342356,0.17770012,0.11431904,0.88997039,7.78497081501034
"e_y_35_8","e","y","35","008",21.148,275.226,0.118,1.488,0.137,0.549,0.993,0.3,3.467,0.578,0.02772,0.06103,0.02731,0.01367,0.0184,0.42257,0.46281,0.4407,0.41569,0.41219,3.19504666666667,0.884258333333333,3.19504666666667e-06,8.84258333333333e-07,3.19504666666667e-05,8.84258333333333e-06,0.10513480311506,0.0290970165624657,0.117664942882631,0.0320638881312503,54.4969966983571,0.00215910875848647,0.00058836064505949,0.00274746940354596,0.149728831013882,3.61325027565474,3.039,25.139,25.016,80.813,153.905,1.904,1.776,9.903,55.7972385095517,54.4969966983571,1.54669945148477,0.407794551908979,0.079138380319669,0.0360418392174467,0.522974771446095,0.0405304826461112,0.04063728,0.0101016,0.01357431,0.41278017,0.018309,0.138843,0.08262219,0.55162317,6.67645302067157
"e_y_70_9","e","y","70","009",21.859,485.974,0.124,3.088,0.116,1.137,1.857,0.481,6.679,1.113,0.02866,0.05942,0.02284,0.01528,0.01682,0.42622,0.45509,0.43914,0.42318,0.41011,1.70066,0.83139,1.70066e-06,8.3139e-07,1.70066e-05,8.3139e-06,0.0542475279106858,0.0265196172248804,0.0607128380327985,0.0292236847773264,53.2354290959156,0.00114045925925403,0.000548951802843053,0.00168941106209709,0.0899365228101249,2.04556225116973,3.135,21.79,25.009,91.651,167.641,1.829,3.973,10.891,56.7272061850954,53.2354290959156,1.62580172926483,0.439982849798198,0.0820073959285398,0.0214351463819969,0.543425392108735,0.0405304826461112,0.07052992,0.01912434,0.02837496,0.78584526,0.02858102,0.21889829,0.14661024,1.00474355,6.85316080241053
"e_y_70_10","e","y","70","010",20.524,NA,0.111,1.264,0.094,0.517,1.152,0.245,3.272,0.545,0.02377,0.05947,0.02199,0.01644,0.01519,0.42121,0.45425,0.44073,0.41273,0.4101,3.15116,0.68883,3.15116e-06,6.8883e-07,3.15116e-05,6.8883e-06,0.102878223963435,0.022488736532811,0.115139420894489,0.0247817961285893,NA,NA,NA,NA,0.139921217023078,4.57465557539596,3.063,NA,25.012,84.042,154.735,1.841,3.715,9.367,54.0830247515104,NA,1.2855534983434,0.510237467223937,0.0957279513015782,NA,NA,0.0405304826461112,0.02779536,0.00785323,0.01893888,0.47546496,0.01457015,0.11129125,0.06915762,0.58675621,8.48433202299327
